code,name_vi,name_en
A16.4,"Bệnh lao thanh quản, khí quản và/hoặc phế quản, không đề cập đến việc khẳng định bằng vi khuẩn học hoặc mô học","Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
A16.5,"Bệnh lao màng phổi, không đề cập đến việc khẳng định bằng vi khuẩn học hoặc mô học","Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
A16.7,Bệnh lao hô hấp sơ nhiễm không đề cập đến việc khẳng định bằng vi khuẩn học hoặc mô học,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A16.8,"Bệnh lao hô hấp khác, không đề cập đến việc khẳng định bằng vi khuẩn học hoặc mô học","Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
A16.9,"Bệnh lao hô hấp không xác định, không đề cập đến việc đã được khẳng định bằng vi khuẩn học hoặc mô học","Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
A17,Bệnh lao hệ thần kinh,Tuberculosis of nervous system
A17.0,Viêm màng não do bệnh lao (G01*),Tuberculous meningitis (G01*)
A17.1,U lao màng não (G07*),Meningeal tuberculoma (G07*)
A17.8,Bệnh lao khác của hệ thần kinh,Other tuberculosis of nervous system
A17.9,"Bệnh lao hệ thần kinh, không xác định (G99.8*)","Tuberculosis of nervous system, unspecified (G99.8*)"
A18,Bệnh lao ở cơ quan khác,Tuberculosis of other organs
A18.0,Bệnh lao xương và/hoặc khớp,Tuberculosis of bones and joints
A18.1,Bệnh lao ở hệ tiết niệu sinh dục,Tuberculosis of genitourinary system
A18.2,Bệnh lao hạch bạch huyết ngoại biên,Tuberculous peripheral lymphadenopathy
A18.3,"Bệnh lao ở ruột, phúc mạc và/hoặc mạc treo ruột","Tuberculosis of intestines, peritoneum and mesenteric glands"
A18.4,Bệnh lao ở da và/hoặc mô dưới da,Tuberculosis of skin and subcutaneous tissue
A18.5,Bệnh lao ở mắt,Tuberculosis of eye
A18.6,Bệnh lao ở tai,Tuberculosis of ear
A18.7,Bệnh lao tuyến thượng thận (E35.1*),Tuberculosis of adrenal glands (E35.1*)
A18.8,Bệnh lao ở cơ quan xác định khác,Tuberculosis of other specified organs
A19,Bệnh lao kê,Miliary tuberculosis Incl.: tuberculosis:
A19.0,Bệnh lao kê cấp tính của một vị trí xác định,Acute miliary tuberculosis of a single specified site
A19.1,Bệnh lao kê cấp tính của nhiều vị trí,Acute miliary tuberculosis of multiple sites
A19.2,"Bệnh lao kê cấp tính, không xác định","Acute miliary tuberculosis, unspecified"
A19.8,Bệnh lao kê khác,Other miliary tuberculosis
A19.9,"Bệnh lao kê, không xác định","Miliary tuberculosis, unspecified"
A20,Bệnh dịch hạch,Plague
A20.0,Bệnh dịch hạch thể hạch,Bubonic plague
A20.1,Bệnh dịch hạch thể viêm tế bào da,Cellulocutaneous plague
A20.2,Bệnh dịch hạch thể phổi,Pneumonic plague
A20.3,Bệnh dịch hạch thể viêm màng não,Plague meningitis
A20.7,Bệnh dịch hạch thể nhiễm khuẩn huyết,Septicaemic plague
A20.8,Bệnh dịch hạch thể khác,Other forms of plague
A20.9,"Bệnh dịch hạch, không xác định","Plague, unspecified"
A21,Bệnh Tularaemia,Tularaemia
A21.0,Bệnh Tularaemia thể hạch loét,Ulceroglandular tularaemia
A21.1,Bệnh Tularaemia thể hạch mắt,Oculoglandular tularaemia
A21.2,Bệnh Tularaemia thể phổi,Pulmonary tularaemia
A21.3,Bệnh Tularaemia thể dạ dày - ruột,Gastrointestinal tularaemia
A21.7,Bệnh Tularaemia toàn thân,Generalized tularaemia
A21.8,Bệnh Tularaemia thể khác,Other forms of tularaemia
A21.9,"Bệnh do vi khuẩn Tularaemia gây ra, không xác định","Tularaemia, unspecified"
A22,Bệnh than,Anthrax
A22.0,Bệnh than thể da,Cutaneous anthrax Malignant:
A22.1,Bệnh than thể phổi,Pulmonary anthrax
A22.2,Bệnh than thể dạ dày - ruột,Gastrointestinal anthrax
A22.7,Bệnh than thể nhiễm trùng hệ thống,Anthrax sepsis
A22.8,Bệnh than thể khác,Other forms of anthrax
A22.9,"Bệnh than, không xác định","Anthrax, unspecified"
A23,Bệnh do Brucella,Brucellosis
A23.0,Bệnh do Brucella melitensis,Brucellosis due to Brucella melitensis
A23.1,Bệnh do Brucella abortus,Brucellosis due to Brucella abortus
A23.2,Bệnh do Brucella suis,Brucellosis due to Brucella suis
A23.3,Bệnh do Brucella canis,Brucellosis due to Brucella canis
A23.8,Bệnh do Brucella khác,Other brucellosis
A23.9,"Bệnh do Brucella, không xác định","Brucellosis, unspecified"
A24,Bệnh melioidosis và/hoặc bệnh glanders,Glanders and melioidosis
A24.0,Bệnh tỵ thư [glanders],Glanders
A24.1,"Bệnh Melioidosis [bệnh Whitmore] cấp tính và/hoặc đột ngột, nặng",Acute and fulminating melioidosis
A24.2,Bệnh melioidosis [bệnh Whitmore] mạn tính và/hoặc bán cấp tính,Subacute and chronic melioidosis
A24.3,Bệnh melioidosis [bệnh Whitmore] khác,Other melioidosis
A24.4,"Bệnh melioidosis [bệnh Whitmore], không xác định","Melioidosis, unspecified"
A25,Sốt do chuột cắn,Rat-bite fevers
A25.0,Bệnh do nhiễm spirilla,Spirillosis
A25.1,Bệnh do nhiễm streptobacilla,Streptobacillosis
A25.9,"Sốt do chuột cắn, không xác định","Rat-bite fever, unspecified"
A26,Bệnh viêm quầng đỏ do Erysipelothrix rhusiopathiae,Erysipeloid
A26.0,Bệnh viêm quầng đỏ ở da do Erysipelothrix rhusiopathiae,Cutaneous erysipeloid
A26.7,Nhiễm trùng hệ thống do Erysipelothrix,Erysipelothrix sepsis
A26.8,Thể khác của viêm quầng đỏ do Erysipelothrix rhusiopathiae,Other forms of erysipeloid
A26.9,"Bệnh viêm quầng đỏ do Erysipelothrix rhusiopathiae, không xác định","Erysipeloid, unspecified"
A27,Bệnh nhiễm leptospira,Leptospirosis
A27.0,Bệnh vàng da xuất huyết do leptospira,Leptospirosis icterohaemorrhagic a
A27.8,Thể khác của nhiễm leptospira,Other forms of leptospirosis
A27.9,"Bệnh nhiễm leptospira, không xác định","Leptospirosis, unspecified"
A28,"Bệnh nhiễm trùng khác do động vật truyền sang người, không phân loại mục khác","Other zoonotic bacterial diseases, not elsewhere classified"
A28.0,Bệnh tụ huyết trùng do Pasteurella,Pasteurellosis
A28.1,Bệnh mèo cào,Cat-scratch disease
A28.2,Nhiễm Yersinia ngoài ruột,Extraintestinal yersiniosis
A28.8,"Bệnh nhiễm khuẩn do động vật truyền sang người khác, không phân loại mục khác","Other specified zoonotic bacterial diseases, not elsewhere classified"
A28.9,"Bệnh nhiễm khuẩn do động vật truyền sang người, không xác định","Zoonotic bacterial disease, unspecified"
A30,Bệnh phong [bệnh Hansen],Leprosy [Hansen disease]
A30.0,Bệnh phong thể bất định,Indeterminate leprosy
