code,name_vi,name_en
Q86.1,Hội chứng hydantoin bào thai,Fetal hydantoin syndrome
Q86.2,Dị dạng do warfarin,Dysmorphism due to warfarin
Q86.8,Dị tật bẩm sinh khác do nguyên nhân bên ngoài đã biết,Other congenital malformation syndromes due to known exogenous causes
Q87,Hội chứng dị tật bẩm sinh khác tác động nhiều hệ thống,Other specified congenital malformation syndromes affecting multiple systems
Q87.0,Hội chứng dị tật bẩm sinh tác đọng chủ yếu vào diện mạo [hình dạng] của mặt,Congenital malformation syndromes predominantly affecting facial appearance
Q87.1,Hội chứng dị tật bẩm sinh liên quan chủ yếu đến tầm vóc thấp,Congenital malformation syndromes predominantly associated with short stature
Q87.2,Hội chứng dị tật bẩm sinh liên quan chủ yếu đến các chi,Congenital malformation syndromes predominantly involving limbs
Q87.3,Hội chứng dị tật bẩm sinh có phát triển sớm quá mức,Congenital malformation syndromes involving early overgrowth
Q87.4,Hội chứng Marfan,Marfan syndrome
Q87.5,Hội chứng dị tật bẩm sinh khác đi kèm thay đổi xương khác,Other congenital malformation syndromes with other skeletal changes
Q87.8,"Hội chứng dị tật bẩm sinh xác định khác, không phân loại mục khác","Other specified congenital malformation syndromes, not elsewhere classified"
Q89,"Dị tật bẩm sinh khác, không phân loại mục khác","Other congenital malformations, not elsewhere classified"
Q89.0,Dị tật bẩm sinh của lách,Congenital malformations of spleen
Q89.1,Dị tật bẩm sinh của tuyến thượng thận,Congenital malformations of adrenal gland
Q89.2,Dị tật bẩm sinh của tuyến nội tiết khác,Congenital malformations of other endocrine glands
Q89.3,Đảo ngược phủ tạng,Situs inversus
Q89.4,Sinh đôi dính nhau,Conjoined twins
Q89.7,"Da dị tật bẩm sinh, không phân loại mục khác","Multiple congenital malformations, not elsewhere classified"
Q89.8,Dị tật bẩm sinh xác định khác,Other specified congenital malformations
Q89.9,"Dị tật bẩm sinh, không xác định","Congenital malformation, unspecified"
Q90,Hội chứng Down,Down syndrome
Q90.0,"Thể tam nhiễm sắc thể, không phân ly trong giảm phân","Trisomy 21, meiotic nondisjunction"
Q90.1,"Thể tam nhiễm sắc thể 21, thể khảm (không phân ly trong nguyên phân)","Trisomy 21, mosaicism (mitotic nondisjunction)"
Q90.2,"Thể tam nhiễm sắc thể 21, chuyển đoạn","Trisomy 21, translocation"
Q90.9,"Hội chứng Down, không xác định","Down syndrome, unspecified"
Q91,Hội chứng Edwards và/hoặc hội chứng Patau,Edwards syndrome and Patau syndrome
Q91.0,"Thể tam nhiễm sắc thể 18, không phân ly trong giảm phân","Trisomy 18, meiotic nondisjunction"
Q91.1,"Thể tam nhiễm sắc thể 18, thể khảm (không phân ly trong nguyên phân)","Trisomy 18, mosaicism (mitotic nondisjunction)"
Q91.2,"Thể tam nhiễm sắc thể 18, chuyển đoạn","Trisomy 18, translocation"
Q91.3,"Hội chứng Edwards, không xác định","Edwards syndrome, unspecified"
Q91.4,"Thể tam nhiễm sắc thể 13, không phân ly trong giảm phân","Trisomy 13, meiotic nondisjunction"
Q91.5,"Thể tam nhiễm sắc thể 13, thể khảm (không phân ly trong nguyên phân)","Trisomy 13, mosaicism (mitotic nondisjunction)"
Q91.6,"Thể tam nhiễm sắc thể 13, chuyển đoạn","Trisomy 13, translocation"
Q91.7,"Hội chứng Patau, không xác định","Patau syndrome, unspecified"
Q92,"Thể tam nhiễm sắc thể thường hoàn toàn và/hoặc một phần khác, không phân loại mục khác","Other trisomies and partial trisomies of the autosomes, not elsewhere classified"
Q92.0,"Thể tam nhiễm sắc thể hoàn toàn, không phân ly trong giảm phân","Whole chromosome trisomy, meiotic nondisjunction"
Q92.1,"Thể tam nhiễm sắc thể hoàn toàn, thể khảm (không phân ly trong nguyên phân)","Whole chromosome trisomy, mosaicism (mitotic nondisjunction)"
Q92.2,"Thể tam nhiễm sắc thể một phần, lớn",Major partial trisomy
Q92.3,"Thể tam nhiễm sắc thể một phần, nhỏ",Minor partial trisomy
Q92.4,Sự nhân đôi [sao chép] nhiễm sắc tử chỉ thấy ở cuối kỳ đầu [đầu kỳ giữa],Duplications seen only at prometaphase
Q92.5,Sự nhân đôi [sao chép] nhiễm sắc tử kèm đột biến cấu trúc phức tạp khác,Duplications with other complex rearrangements
Q92.6,"Nhiễm sắc thể có dấu ấn phụ [siêu số, thừa]",Extra marker chromosomes
Q92.7,Thể tam bội và/hoặc thể đa bội,Triploidy and polyploidy
Q92.8,Thể tam nhiễm sắc thể thường hoàn toàn và/hoặc một phần xác định khác,Other specified trisomies and partial trisomies of autosomes
Q92.9,"Thể tam nhiễm sắc thể thường hoàn toàn và/hoặc một phần, không xác định","Trisomy and partial trisomy of autosomes, unspecified"
Q93,"Thể đơn nhiễm sắc thể thường và/hoặc mất đoạn nhiễm sắc thể thường, không phân loại mục khác","Monosomies and deletions from the autosomes, not elsewhere classified"
Q93.0,Thể đơn nhiễm sắc thể hoàn toàn không phân ly trong giảm phân,"Whole chromosome monosomy, meiotic nondisjunction"
Q93.1,"Thể đơn nhiễm sắc thể hoàn toàn, thể khảm (không phân ly trong nguyên phân)","Whole chromosome monosomy, mosaicism (mitotic nondisjunction)"
Q93.2,Nhiễm sắc thể hình vòng và/hoặc hai tâm động,Chromosome replaced with ring or dicentric
Q93.3,Mất đoạn cánh ngắn nhiễm sắc thể số 4,Deletion of short arm of chromosome 4
Q93.4,Mất đoạn cánh ngắn nhiễm sắc thể số 5,Deletion of short arm of chromosome 5
Q93.5,Mất đoạn khác của nhiễm sắc thể,Other deletions of part of a chromosome
Q93.6,Mất đoạn nhiễm sắc thể chỉ thấy ở cuối kỳ đầu [đầu kỳ giữa],Deletions seen only at prometaphase
Q93.7,Mất đoạn nhiễm sắc thể kèm đột biến cấu trúc phức tạp khác,Deletions with other complex rearrangements
Q93.8,Mất đoạn của nhiễm sắc thể thường khác,Other deletions from the autosomes
Q93.9,"Mất đoạn nhiễm sắc thể thường, không xác định","Deletion from autosomes, unspecified"
Q95,"Đột biến cấu trúc nhiễm sắc thể không gây mất cân bằng gen và/hoặc cá thể bình thường có dấu ấn đột biến cấu trúc, không phân loại ở mục khác","Balanced rearrangements and structural markers, not elsewhere classified"
Q95.0,Chuyển đoạn và lặp đoạn không gây mất cân bằng gen ở cá thể bình thường,Balanced translocation and insertion in normal individual
Q95.1,Đảo đoạn nhiễm sắc thể ở cá thể bình thường,Chromosome inversion in normal individual
Q95.2,Đột biến cấu trúc nhiễm sắc thể thường không gây mất cân bằng gen ở cá thể bất thường,Balanced autosomal rearrangement in abnormal individual
Q95.3,Đột biến cấu trúc nhiễm sắc thể giới tính/thường không gây mất cân bằng gen ở cá thể bất thường,Balanced sex/autosomal rearrangement in abnormal individual
Q95.4,Cá thể bình thường có mang bất thường vùng dị nhiễm sắc,Individuals with marker heterochromatin
Q95.5,Cá thể có vị trí dễ gãy ở nhiễm sắc thể thường,Individuals with autosomal fragile site
Q95.8,Đột biến cấu trúc nhiễm sắc thể không gây mất cân bằng gen và/hoặc dấu ấn bất thường cấu trúc khác,Other balanced rearrangements and structural markers
Q95.9,"Đột biến cấu trúc nhiễm sắc thể không gây mất cân bằng gen và/hoặc dấn ấn bất thường cấu trúc, không xác định","Balanced rearrangement and structural marker, unspecified"
Q96,Hội chứng Turner,Turner syndrome
Q96.0,"Công thức nhiễm sắc thể 45,X","Karyotype 45,X"
Q96.1,"Công thức nhiễm sắc thể 46, X iso (Xq)","Karyotype 46,X iso (Xq)"
Q96.2,"Công thức nhiễm sắc thể 46,X với nhiễm sắc thể giới tính bất thường, trừ iso (Xq)","Karyotype 46,X with abnormal sex chromosome, except iso (Xq)"
Q96.3,"Thể khảm, 45,X/46,XX hay XY","Mosaicism, 45,X/46,XX or XY"
Q96.4,"Thể khảm, 45,X /dòng tế bào khác có nhiễm sắc thể giới tính bất thường","Mosaicism, 45,X/other cell line(s) with abnormal sex chromosome"
Q96.8,Thể khác của hội chứng Turner,Other variants of Turner syndrome
Q96.9,"Hội chứng Turner, không xác định","Turner syndrome, unspecified"
Q97,"Bất thường nhiễm sắc thể giới tính khác, kiểu hình nữ, không phân loại mục khác","Other sex chromosome abnormalities, female phenotype, not elsewhere classified"
Q97.0,"Công thức nhiễm sắc thể 47,XXX","Karyotype 47,XXX"
Q97.1,Nữ có hơn 3 nhiễm sắc thể X,Female with more than three X chromosomes
Q97.2,"Thể khảm, dòng có số lượng nhiễm sắc thể X khác nhau","Mosaicism, lines with various numbers of X chromosomes"
Q97.3,"Nữ có công thức nhiễm sắc thể 46,XY","Female with 46,XY karyotype"
Q97.8,"Bất thường nhiễm sắc thể giới tính xác định khác, kiểu hình nữ","Other specified sex chromosome abnormalities, female phenotype"
Q97.9,"Bất thường nhiễm sắc thể giới tính, kiểu hình nữ, không xác định","Sex chromosome abnormality, female phenotype, unspecified"
Q98,"Bất thường nhiễm sắc thể giới tính khác, kiểu hình nam không phân loại mục khác","Other sex chromosome abnormalities, male phenotype, not elsewhere classified"
Q98.0,"Hội chứng Klinefelter có công thức nhiễm sắc thể 47,XXY","Klinefelter syndrome karyotype 47,XXY"
Q98.1,"Hội chứng Klinefelter, nam giới có hơn 2 nhiễm sắc thể X","Klinefelter syndrome, male with more than two X chromosomes"
Q98.2,"Hội chứng Klinefelter, nam giới có công thức nhiễm sắc thể 46,XX","Klinefelter syndrome, male with 46,XX karyotype"
Q98.3,"Nam giới khác có công thức nhiễm sắc thể 46,XX","Other male with 46,XX karyotype"
Q98.4,"Hội chứng Klinefelter, không xác định","Klinefelter syndrome, unspecified"
Q98.5,"Công thức nhiễm sắc thể 47,XYY","Karyotype 47,XYY"
Q98.6,Nam có cấu trúc nhiễm sắc thể giới tính bất thường,Male with structurally abnormal sex chromosome
Q98.7,Nam có thể khảm nhiễm sắc thể giới tính,Male with sex chromosome mosaicism
Q98.8,"Bất thường nhiễm sắc thể giới tính xác định khác, kiểu hình nam","Other specified sex chromosome abnormalities, male phenotype"
Q98.9,"Bất thường nhiễm sắc thể giới tính, kiểu hình nam, không xác định","Sex chromosome abnormality, male phenotype, unspecified"
Q99,Bất thường nhiễm sắc thể khác không phân loại mục khác,"Other chromosome abnormalities, not elsewhere classified"
Q99.0,"Hợp thể khảm 46, XX/46,XY","Chimera 46,XX/46,XY"
Q99.1,"Lưỡng tính thật 46,XX","46,XX true hermaphrodite"
Q99.2,Nhiễm sắc thể X dễ gãy [Fragile X],Fragile X chromosome
Q99.8,Bất thường nhiễm sắc thể xác định khác,Other specified chromosome abnormalities
Q99.9,"Bất thường nhiễm sắc thể, không xác định","Chromosomal abnormality, unspecified"
R00,Nhịp tim bất thường,Abnormalities of heart beat
R00.0,"Nhịp tim nhanh, không xác định","Tachycardia, unspecified"
R00.1,"Nhịp tim chậm, không xác định","Bradycardia, unspecified"
R00.2,Đánh trống ngực,Palpitations
R00.3,"Ngừng tim với hoạt động điện vô mạch, không phân loại mục khác","Pulseless electrical activity, not elsewhere classified"
R00.8,Nhịp tim bất thường khác và/hoặc không xác định,Other and unspecified abnormalities of heart beat
R01,Tiếng thổi của tim và/hoặc các âm thanh khác của tim,Cardiac murmurs and other cardiac sounds
R01.0,Tiếng thổi lành tính và/hoặc không có hại của tim,Benign and innocent cardiac murmurs
R01.1,"Tiếng thổi của tim, không xác định","Cardiac murmur, unspecified"
R01.2,Âm thanh khác của tim,Other cardiac sounds
R02,"Hoại thư, không phân loại mục khác","Gangrene, not elsewhere classified"
R03,"Chỉ số huyết áp bất thường, không có chẩn đoán","Abnormal blood- pressure reading, without diagnosis"
R03.0,"Chỉ số huyết áp tăng, không chẩn đoán tăng huyết áp","Elevated blood- pressure reading, without diagnosis of hypertension"
R03.1,Chỉ số huyết áp thấp không xác định số cụ thể,Nonspecific low blood-pressure reading
R04,Chảy máu đường hô hấp,Haemorrhage from respiratory passages
R04.0,Chảy máu cam,Epistaxis
R04.1,Chảy máu họng,Haemorrhage from throat
R04.2,Ho ra máu,Haemoptysis
R04.8,Xuất huyết từ các vị trí khác của đường hô hấp,Haemorrhage from other sites in respiratory passages
R04.9,"Xuất huyết đường hô hấp, không xác định","Haemorrhage from respiratory passages, unspecified"
R05,Ho,Cough
R06,Nhịp thở bất thường,Abnormalities of breathing
R06.0,Khó thở,Dyspnoea
R06.1,Thở rít,Stridor
R06.2,Thở khò khè,Wheezing
R06.3,Thở có tính chu kỳ,Periodic breathing
R06.4,Tăng thông khí,Hyperventilation
R06.5,Thở bằng miệng,Mouth breathing
R06.6,Nấc cụt,Hiccough
R06.7,Hắt hơi,Sneezing
R06.8,Nhịp thở bất thường khác và/hoặc không xác định,Other and unspecified abnormalities of breathing
R07,Đau họng và/hoặc đau ngực,Pain in throat and chest
R07.0,Đau họng,Pain in throat
R07.1,Đau ngực khi thở,Chest pain on breathing
R07.2,Đau vùng trước tim,Precordial pain
R07.3,Đau ngực khác,Other chest pain
R07.4,"Đau ngực, không xác định","Chest pain, unspecified"
R09,Triệu chứng và/hoặc dấu hiệu khác liên quan đến hệ tuần hoàn và/hoặc hệ hô hấp,Other symptoms and signs involving the circulatory and respiratory systems
R09.0,Ngạt thở,Asphyxia
R09.1,Viêm màng phổi,Pleurisy
R09.2,Ngừng hô hấp,Respiratory arrest
R09.3,Đờm bất thường,Abnormal sputum
R09.8,Triệu chứng và/hoặc dấu hiệu xác định khác liên quan tới hệ tuần hoàn và/hoặc hô hấp,Other specified symptoms and signs involving the circulatory and respiratory systems
R10,Đau vùng bụng và/hoặc chậu,Abdominal and pelvic pain
R10.0,Đau bụng cấp tính,Acute abdomen
R10.1,Đau khu trú bụng trên,Pain localized to upper abdomen
R10.2,Đau vùng chậu và/hoặc tầng sinh môn,Pelvic and perineal pain
R10.3,Đau khu trú tại vùng khác của bụng dưới,Pain localized to other parts of lower abdomen
R10.4,Đau bụng khác và/hoặc không xác định,Other and unspecified abdominal pain
R11,Buồn nôn và/hoặc nôn,Nausea and vomiting
R12,Ợ nóng [đau rát ngực],Heartburn
R13,Khó nuốt,Dysphagia
R14,Đầy hơi và/hoặc tình trạng liên quan,Flatulence and related conditions
R15,Đại tiện không tự chủ,Faecal incontinence
R16,"Gan to và/hoặc lá lách to, không phân loại mục khác","Hepatomegaly and splenomegaly, not elsewhere classified"
R16.0,"Gan to, không phân loại mục khác","Hepatomegaly, not elsewhere classified"
R16.1,"Lách to, không phân loại mục khác","Splenomegaly, not elsewhere classified"
R16.2,"Gan to kèm lách to, không phân loại mục khác","Hepatomegaly with splenomegaly, not elsewhere classified"
R17,"Tăng bilirubin máu, có hoặc không vàng da, không phân loại mục khác","Hyperbilirubinaemi a, with or without jaundice, not elsewhere classified"
R17.0,"Tăng bilirubin máu, có đề cập vàng da, không phân loại mục khác","Hyperbilirubinaemi a with mention of jaundice, not elsewhere classified"
R17.9,"Tăng bilirubin máu, không đề cập vàng da, không phân loại mục khác","Hyperbilirubinaemi a without mention of jaundice, not elsewhere classified"
R18,Chứng cổ trướng,Ascites
R19,Triệu chứng và/hoặc dấu hiệu khác liên quan tới hệ tiêu hóa và/hoặc bụng,Other symptoms and signs involving the digestive system and abdomen
R19.0,Khối và/hoặc mảng sưng phồng ở vùng bụng và/hoặc vùng chậu,"Intra-abdominal and pelvic swelling, mass and lump"
R19.1,Tiếng ruột bất thường,Abnormal bowel sounds
R19.2,Nhu động ruột nổi [có thể nhìn thấy được],Visible peristalsis
R19.3,Cứng bụng,Abdominal rigidity
R19.4,Thay đổi thói quen đại tiện Loại trừ: táo bón,Change in bowel habit
R19.5,Bất thường khác của phân,Other faecal abnormalities
R19.6,Chứng hôi miệng,Halitosis
R19.8,Triệu chứng và/hoặc dấu hiệu xác định khác liên quan tới hệ tiêu hóa và/hoặc bụng,Other specified symptoms and signs involving the digestive system and abdomen
R20,Rối loạn cảm giác da,Disturbances of skin sensation
R20.0,Mất cảm giác da,Anaesthesia of skin
R20.1,Giảm cảm giác da,Hypoaesthesia of skin
R20.2,Dị cảm da,Paraesthesia of skin Formication
R20.3,Tăng cảm giác,Hyperaesthesia
R20.8,Rối loạn cảm giác da khác và/ hoặc không xác định,Other and unspecified disturbances of skin sensation
R21,Ban da và/hoặc phát ban không xác định cụ thể,Rash and other nonspecific skin eruption
R22,"Sưng cục bộ, khối và/hoặc u ở da và/hoặc mô dưới da","Localized swelling, mass and lump of skin and subcutaneous tissue"
R22.0,"Sưng khu trú, khối và/hoặc u ở đầu","Localized swelling, mass and lump, head"
R22.1,"Sưng khu trú, khối và/hoặc u ở cổ","Localized swelling, mass and lump, neck"
R22.2,"Sưng khu trú, khối và/hoặc u ở thân mình","Localized swelling, mass and lump, trunk"
R22.3,"Sưng khu trú, khối và/hoặc u ở chi trên","Localized swelling, mass and lump, upper limb"
R22.4,"Sưng khu trú, khối và/hoặc u ở chi dưới","Localized swelling, mass and lump, lower limb"
R22.7,"Sưng khu trú, khối và/hoặc u ở nhiều vị trí","Localized swelling, mass and lump, multiple sites"
R22.9,"Sưng khu trú, khối và/hoặc u, không xác định","Localized swelling, mass and lump, unspecified"
R23,Thay đổi khác của da,Other skin changes
R23,của da,Other skin changes Thay đổi khác
R23.0,Chứng xanh tím da,Cyanosis
R23.1,"Da xanh xao, tái nhợt",Pallor
R23.2,Chứng đỏ bừng mặt,Flushing
R23.3,Bầm máu tự phát,Spontaneous ecchymoses
R23.4,Thay đổi kết cấu da,Changes in skin texture
R23.8,Thay đổi khác và/hoặc không xác định của da,Other and unspecified skin changes
R25,Vận động không tự chủ bất thường,Abnormal involuntary movements
R25.0,Cử động đầu bất thường,Abnormal head movements
R25.1,"Run, không xác định","Tremor, unspecified Excl.: chorea NOS"
R25.2,Chuột rút và/hoặc co thắt,Cramp and spasm
R25.3,Co cứng cơ cục bộ,Fasciculation
R25.8,Vận động không tự chủ bất thường khác và/hoặc không xác định,Other and unspecified abnormal involuntary movements
R26,Bất thường về dáng đi và/hoặc vận động,Abnormalities of gait and mobility
R26.0,Dáng đi mất điều hòa vận động,Ataxic gait
R26.1,Dáng đi liệt,Paralytic gait
R26.2,"Đi bộ khó khăn, không phân loại mục khác","Difficulty in walking, not elsewhere classified"
R26.3,Bất động,Immobility
R26.8,Bất thường dáng đi và/hoặc vận động khác và/hoặc không xác định,Other and unspecified abnormalities of gait and mobility
R27,Thiếu phối hợp vận động khác,Other lack of coordination
R27.0,"Mất điều hòa vận động [thất điều], không xác định","Ataxia, unspecified"
R27.8,Thiếu phối hợp vận động khác và/hoặc không xác định,Other and unspecified lack of coordination
R29,Triệu chứng và/hoặc dấu hiệu khác liên quan tới hệ thần kinh và/hoặc cơ xương khớp,Other symptoms and signs involving the nervous and musculoskeletal systems
R29.0,Cơn co thắt không tự chủ [tetany],Tetany
R29.1,"Kích thích màng não [biểu hiện bằng gáy cứng, đau đầu]",Meningismus
R29.2,Phản xạ bất thường,Abnormal reflex
R29.3,Tư thế bất thường,Abnormal posture
R29.4,Khớp háng kêu lách cách,Clicking hip
R29.6,"Dễ ngã, không phân loại mục khác","Tendency to fall, not elsewhere classified"
R29.8,Triệu chứng và/hoặc dấu hiệu khác và/hoặc không xác định liên quan đến hệ thần kinh và/hoặc hệ cơ xương khớp,Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems
R30,Đau liên quan với tiểu tiện,Pain associated with micturition
R30,Đau liên quan với tiểu tiện Loại trừ: đau do,Pain associated with micturition
R30.0,Khó tiểu tiện,Dysuria
R30.1,Buồn tiểu sau khi tiểu tiện do cơ bàng quang quá kích thích,Vesical tenesmus
R30.9,"Tiểu tiện gây đau, không xác định","Painful micturition, unspecified"
R31,Tiểu máu không xác định,Unspecified haematuria
R32,Tiểu tiện không tự chủ không xác định,Unspecified urinary incontinence
R33,Bí tiểu,Retention of urine
R34,Vô niệu và/hoặc thiểu niệu - Loại trừ: gây,Anuria and oliguria
R34,và/hoặc thiểu niệu,Anuria and oliguria Vô niệu
R35,Đa niệu,Polyuria
R36,Dịch tiết từ niệu đạo,Urethral discharge
R39,Triệu chứng và/hoặc dấu hiệu khác liên quan tới hệ tiết niệu,Other symptoms and signs involving the urinary system
R39.0,Thoát mạch nước tiểu [Viêm tấy do nước tiểu],Extravasation of urine
R39.1,Khó tiểu tiện khác,Other difficulties with micturition
R39.2,Tăng urê huyết ngoài thận,Extrarenal uraemia
R39.8,Triệu chứng và dấu hiệu khác và/hoặc không xác định liên quan tới hệ tiết niệu,Other and unspecified symptoms and signs involving the urinary system
R40,"Buồn ngủ, ngẩn ngơ và/hoặc hôn mê","Somnolence, stupor and coma"
R40.0,Buồn ngủ,Somnolence
R40.1,Trạng thái ngẩn ngơ,Stupor
R40.2,"Hôn mê, không xác định","Coma, unspecified"
R41,Triệu chứng và/hoặc dấu hiệu khác liên quan đến chức năng nhận thức và/hoặc tri giác,Other symptoms and signs involving cognitive functions and awareness
R41.0,"Mất ý thức, không xác định - Chứng lú lẫn","Disorientation, unspecified"
R41.1,Chứng quên thuận chiều [không có khả năng hình thành ký ức mới sau khi biến cố gây bệnh xảy ra],Anterograde amnesia
R41.2,Chứng quên ngược chiều [không nhớ được các ký ức cũ trước khi biến cố gây bệnh xảy ra],Retrograde amnesia
R41.3,Chứng quên khác,Other amnesia
R41.8,Triệu chứng và dấu hiệu khác và/hoặc không xác định liên quan đến chức năng nhận thức và/hoặc nhận biết,Other and unspecified symptoms and signs involving cognitive functions and awareness
R42,Hoa mắt và/hoặc chóng mặt,Dizziness and giddiness
R43,Rối loạn khứu giác và/hoặc vị giác,Disturbances of smell and taste
R43.0,Mất khứu giác,Anosmia
R43.1,Rối loạn khứu giác,Parosmia
R43.2,Rối loạn vị giác,Parageusia
R43.8,Rối loạn khứu giác và/ hoặc vị giác khác và/hoặc không xác định,Other and unspecified disturbances of smell and taste
R44,Triệu chứng và/hoặc dấu hiệu khác về cảm giác và/hoặc tri giác,Other symptoms and signs involving general sensations and perceptions
R44.0,Ảo thanh,Auditory hallucinations
R44.1,Ảo thị giác,Visual hallucinations
R44.2,Ảo giác khác,Other hallucinations
R44.3,"Ảo giác, không xác định","Hallucinations, unspecified"
R44.8,Triệu chứng và dấu hiệu khác và/hoặc không xác định liên quan đến cảm giác và/hoặc tri giác,Other and unspecified symptoms and signs involving general sensations and perceptions
R45,Triệu chứng và/hoặc dấu hiệu về trạng thái cảm xúc,Symptoms and signs involving emotional state
R45.0,Lo lắng [bồn chồn],Nervousness
R45.1,Tình trạng bứt rứt [không yên] và/hoặc kích động,Restlessness and agitation
R45.2,Buồn phiền [không hài lòng],Unhappiness
R45.3,Làm mất tinh thần và/hoặc thờ ơ,Demoralization and apathy
R45.4,Cáu gắt và/hoặc tức giận,Irritability and anger
R45.5,Thái độ thù địch [phản đối] [chống đối],Hostility
R45.6,Bạo lực thể xác,Physical violence
R45.7,"Trạng thái sốc tâm lý và/hoặc căng thẳng, không xác định","State of emotional shock and stress, unspecified"
R45.8,Triệu chứng và/hoặc dấu hiệu khác liên quan đến trạng thái cảm xúc,Other symptoms and signs involving emotional state
R46,Triệu chứng và/hoặc dấu hiệu khác liên quan đến diện mạo bên ngoài và/hoặc hành vi,Symptoms and signs involving appearance and behaviour
R46,Triệu chứng và/hoặc dấu hiệu liên quan đến diện mạo bên ngoài và/hoặc hành vi,Symptoms and signs involving appearance and behaviour
R46.0,Vệ sinh cá nhân rất kém,Very low level of personal hygiene
R46.1,Diện mạo cá nhân kỳ lạ,Bizarre personal appearance
R46.2,Hành vi kỳ lạ và/hoặc khó hiểu,Strange and inexplicable behaviour
R46.3,Tăng động,Overactivity
R46.4,Phản ứng kém và/hoặc chậm chạp,Slowness and poor responsiveness
R46.5,Tính đa nghi và/hoặc lảng tránh rõ rệt,Suspiciousness and marked evasiveness
R46.6,Lo lắng và/hoặc bận tâm thái quá vì các sự kiện căng thẳng,Undue concern and preoccupation with stressful events
R46.7,Chứng nói dài và/hoặc quá rườm rà gây khó hiểu lý do tiếp cận dịch vụ y tế,Verbosity and circumstantial detail obscuring reason for contact
R46.8,Triệu chứng và/hoặc dấu hiệu khác liên quan đến diện mạo bên ngoài và/hoặc hành vi,Other symptoms and signs involving appearance and behaviour
R47,"Rối loạn ngôn ngữ, không phân loại mục khác","Speech disturbances, not elsewhere classified"
R47.0,Loạn ngôn [giọng nói bất thường] và/hoặc chứng thất ngôn [khó khăn khi nói],Dysphasia and aphasia
R47.1,Rối loạn vận ngôn và/hoặc mất vận ngôn,Dysarthria and anarthria
R47.8,Rối loạn ngôn ngữ khác và/hoặc không xác định,Other and unspecified speech disturbances
R48,"Chứng khó đọc và/hoặc các rối loạn chức năng biểu đạt khác, không phân loại mục khác","Dyslexia and other symbolic dysfunctions, not elsewhere classified"
R48.0,Chứng khó đọc và/hoặc mất khả năng đọc,Dyslexia and alexia
R48.1,Mất nhận thức [vong tri],Agnosia
R48.2,Chứng mất phối hợp động tác,Apraxia
R48.8,Rối loạn chức năng biểu đạt khác và/hoặc không xác định,Other and unspecified symbolic dysfunctions
R49,Rối loạn giọng nói,Voice disturbances
R49.0,Rối loạn phát âm,Dysphonia
R49.1,Chứng mất tiếng,Aphonia
R49.2,Giọng mũi nhiều và/hoặc giọng mũi ít,Hypernasality and hyponasality
R49.8,Rối loạn giọng nói khác và/hoặc không xác định,Other and unspecified voice disturbances
R50,Sốt không rõ nguyên nhân và/hoặc sốt khác,Fever of other and unknown origin
R50.2,Sốt do dùng thuốc,Drug-induced fever
R50.8,Sốt xác định khác,Other specified fever
R50.9,"Sốt, không xác định","Fever, unspecified"
R51,Đau đầu,Headache
R52,"Đau, không phân loại mục khác","Pain, not elsewhere classified"
R52.0,Đau cấp tính,Acute pain
R52.1,Đau mạn tính khó chữa hoặc quản lý,Chronic intractable pain
R52.2,Đau mạn tính khác,Other chronic pain
R52.9,"Đau, không xác định","Pain, unspecified"
R53,Khó chịu và/hoặc mệt mỏi,Malaise and fatigue Incl.: Asthenia NOS
R54,Suy yếu do tuổi già,Senility
R55,Ngất và/hoặc ngã quỵ,Syncope and collapse
R56,"Co giật, không phân loại mục khác","Convulsions, not elsewhere classified"
R56.0,Co giật do sốt,Febrile convulsions
R56.8,Co giật khác và/hoặc không xác định,Other and unspecified convulsions
R57,"Sốc, không phân loại mục khác","Shock, not elsewhere classified"
R57.0,Sốc tim,Cardiogenic shock
R57.1,Sốc giảm thể tích,Hypovolaemic shock
R57.2,Sốc nhiễm trùng,Septic shock
R57.8,Sốc khác,Other shock
R57.9,"Sốc, không xác định","Shock, unspecified"
R58,"Xuất huyết, không phân loại mục khác","Haemorrhage, not elsewhere classified"
R59,Chứng phì đại hạch bạch huyết,Enlarged lymph nodes
R59.0,Chứng phì đại hạch bạch huyết khu trú,Localized enlarged lymph nodes
R59.1,Chứng phì đại hạch bạch huyết toàn thân,Generalized enlarged lymph nodes
R59.9,"Chứng phì đại hạch bạch huyết, không xác định","Enlarged lymph nodes, unspecified"
R60,"Phù, không phân loại mục khác","Oedema, not elsewhere classified"
R60.0,Phù khu trú,Localized oedema
R60.1,Phù toàn thân,Generalized oedema
R60.9,"Phù, không xác định","Oedema, unspecified"
R61,Tăng tiết mồ hôi,Hyperhidrosis
R61.0,Tăng tiết mồ hôi khu trú,Localized hyperhidrosis
R61.1,Tăng tiết mồ hôi toàn thân,Generalized hyperhidrosis
R61.9,"Tăng tiết mồ hôi, không xác định","Hyperhidrosis, unspecified"
R62,Phát triển sinh lý không bình thường như kỳ vọng,Lack of expected normal physiological development
R62.0,Chậm đạt các mốc phát triển,Delayed milestone
R62.8,Phát triển sinh lý không bình thường như kỳ vọng khác,Other lack of expected normal physiological development
R62.9,"Phát triển sinh lý không bình thường như kỳ vọng, không xác định","Lack of expected normal physiological development, unspecified"
R63,Triệu chứng và/hoặc dấu hiệu liên quan đến ăn uống thức ăn và/hoặc đồ uống,Symptoms and signs concerning food and fluid intake
